term,score
package,4.089764761498096
ielts,4.07251004508618
editing,4.069256561616328
pelayanan,4.054768183064853
front,4.007472057600949
lewat,3.981606343087191
pertama,3.9569543011771513
cafe,3.952639047383162
leonardo,3.9486326200198185
albert,3.9486326200198185
mengembangkan,3.9395466959249434
from,3.913804437687718
smk,3.8525062760636897
fundamental,3.845242887081758
viii,3.8411155151545904
toeic,3.737027717561896
barista,3.7368963472901493
wordpress,3.6775488619376375
south,3.6680076674918243
busana,3.6680076674918243
management,3.6511139270704365
seller,3.620005142035158
top,3.620005142035158
graphic,3.606518155478456
komunikasi,3.600219071120662
tote,3.598683925957283
bag,3.598683925957283
ecoprint,3.598683925957283
pengantar,3.58634737244532
kuasai,3.585075254844236
dimensional,3.5796244636595462
sketch,3.5796244636595462
menyusun,3.5562085172876343
penulisan,3.5500959363465125
homemade,3.548544502938722
cheesemaking,3.548544502938722
analytics,3.5465445697855484
speaking,3.53812958639721
olahan,3.5355339059327373
yogurt,3.5355339059327373
culotte,3.5355339059327373
pants,3.5355339059327373
social,3.522634036336351
by,3.515764622031195
meraih,3.5005593590050665
windows,3.499703693240774
sebuah,3.4735436541101734
kilat,3.397225965051888
storyboard,3.3934358647339513
natural,3.392621411961609
soap,3.392621411961609
ux,3.379732805309327
hadi,3.3539719802060417
mendatangkan,3.335779456423388
konsumen,3.335779456423388
service,3.3354617053805846
visualization,3.3333465376110496
keperluan,3.3174879936501798
merdeka,3.3170609970723812
wirausaha,3.306272022208465
boost,3.3052361035090634
maximize,3.3052361035090634
produk,3.299358319643127
clay,3.2776320488455997
art,3.261629073612321
jasa,3.2610327681421616
body,3.2553187169820585
hukum,3.2526820532337464
wawancara,3.1944859094956732
project,3.189083201424765
diri,3.1653509162691185
surabaya,3.1617151953268436
yuliana,3.1617151953268436
lapis,3.1617151953268436
machine,3.1442796264864676
word,3.1430116030512245
peminatan,3.1237696502200487
hindu,3.1230360801666763
kualitas,3.1124603485671862
production,3.1058765590542894
membentuk,3.0809747775891507
pendanaan,3.0801157016998264
develop,3.0750012984274067
job,3.0510538607683575
covid,3.0440422714076476
tim,3.0337908033030088
office,3.0330075928324343
menghitung,3.014185082207252
leadership,3.0
rumah,2.9958446716925136
strategi,2.9895314868825102
desktop,2.9737673515161043
public,2.9712624650213186
pjok,2.9684194987742054
seni,2.9661783532868564
budaya,2.9526367368812085
ke,2.93648285194316
prima,2.934009757253672
juta,2.8973836383955573
using,2.862131994121549
melamar,2.8403417203574417
bisnismu,2.837727592095308
soal,2.826396686027221
dapat,2.825638054865113
pastry,2.8127649635038203
fotografi,2.7831213189774484
photography,2.7817235505925266
area,2.777598400668988
masterclass,2.772830839478255
ojek,2.7567239302165936
pengemudi,2.7567239302165936
pemasaran,2.7117553807321064
small,2.700513948581463
colorful,2.700513948581463
impressionism,2.7000533632316537
watercolor,2.7000533632316537
peracik,2.6960337446146956
transaksi,2.683673728157592
stencil,2.671903257730161
hoodie,2.671903257730161
meningkatkan,2.655649312700578
teknologi,2.653620626755686
tingkatkan,2.6499621226937844
tips,2.64809160138567
understand,2.6475205800489654
email,2.6471246410816733
bagi,2.643935698355529
