,sumber,Judul,bidang,kategori
136,mau belajar apa,Belajar Cara Membentuk Cara Kerja Efektif seorang Pemimpin,personaldevelopment,pengembangan-diri
137,mau belajar apa,Belajar Cara Bicara Profesional (Via Telepon dan Pesan Tulisan),personaldevelopment,pengembangan-diri
138,mau belajar apa,Belajar Mempersiapkan Keterampilan Penting di Dunia Kerja,personaldevelopment,pengembangan-diri
139,mau belajar apa,Learn All About Vocabulary Builder (Digital Learning),personaldevelopment,pengembangan-diri
140,mau belajar apa,Learn How to Design Your Life Story for Professionals (Introduction),personaldevelopment,pengembangan-diri
141,mau belajar apa,Learn All About Pronunciation Practice (Digital Learning),personaldevelopment,pengembangan-diri
142,mau belajar apa,Belajar Pengembangan Kualitas Pemimpin,personaldevelopment,pengembangan-diri
143,mau belajar apa,Learn About The Pursuit Of What Sets Your Soul On Fire,personaldevelopment,pengembangan-diri
144,mau belajar apa,Belajar Membuat Pengaturan Kerja Tim yang Efektif,personaldevelopment,pengembangan-diri
145,mau belajar apa,Learn How to Design Your Life Story for Students (Introduction),personaldevelopment,pengembangan-diri
146,mau belajar apa,(5 Sessions) (Webinar) Learn All About Master of Ceremony for College Student,personaldevelopment,pengembangan-diri
147,mau belajar apa,Learn All About Academic English TOEIC (Digital Learning),personaldevelopment,pengembangan-diri
148,mau belajar apa,Learn All About Academic English IELTS (Digital Learning),personaldevelopment,pengembangan-diri
149,mau belajar apa,Learn How to Replan Your Career In Uncertain Times At Home (One-on-One Session),personaldevelopment,pengembangan-diri
150,mau belajar apa,Belajar Membuat Aneka Keju (Homemade Cheesemaking),healthwellness,pengembangan-diri
151,mau belajar apa,Belajar Cara Melakukan CPR Bagi Kalangan Non Medis,healthwellness,pengembangan-diri
152,mau belajar apa,Belajar Membuat Aneka Olahan Yogurt,healthwellness,pengembangan-diri
153,mau belajar apa,Learn The Fundamental of Calisthenics (ACT 1),healthwellness,pengembangan-diri
154,mau belajar apa,Belajar Trik Sukses Jualan Online dengan Iklan Facebook dan Instagram Dengan Albert Leonardo (Beginner),digital-marketing,business
155,mau belajar apa,Belajar Trik SEO (Online),digital-marketing,business
156,mau belajar apa,Belajar Jualan Online & Meningkatkan Penjualan di Social Media,digital-marketing,business
157,mau belajar apa,Belajar Menulis untuk Pemula,digital-marketing,business
158,mau belajar apa,Belajar Penulisan Konten Kreatif dan Konten untuk Keperluan Bisnis,digital-marketing,business
159,mau belajar apa,Belajar Mengembangkan Bisnis Lewat Iklan Media Sosial,digital-marketing,business
160,mau belajar apa,(Weekly Webinar Class) Belajar Cara Mendatangkan Konsumen Melalui Facebook Dan Instagram,digital-marketing,business
161,mau belajar apa,(Livestream) Learn How To Maximize Instagram To Boost Your Sales,digital-marketing,business
162,mau belajar apa,Learn How To Make Japanese Binding Notebook,papercraft,pengembangan-diri
163,mau belajar apa,(10 Sessions) Learn The Essentials of Graphic Design and Digital Imaging,digital-imaging,art
164,mau belajar apa,(3 Sessions) Learn about Introduction to 3D Modelling,digital-imaging,art
165,mau belajar apa,(4 Sessions) Learn How To Create Creature Design,digital-imaging,art
166,mau belajar apa,Belajar Keterampilan Desain Grafis Bersama Wahyu Studio,digital-imaging,art
167,mau belajar apa,(3 Sessions) Belajar Photoshop Melalui Pembuatan Poster Yang Modern,digital-imaging,art
168,mau belajar apa,(8 Sessions) Learn About 3D Animation (Advance),digital-imaging,art
169,mau belajar apa,Learn How To Create The Heart-Winning Graphic Designs Just in 1 Day,digital-imaging,art
170,mau belajar apa,(4 Sessions) Learn How To Design A Character With Digital Art,digital-imaging,art
171,mau belajar apa,Learn How To Paint On Canvas With Acrylic,art,art
172,mau belajar apa,Learn How To Paint Impressionism (Watercolor Painting),art,art
173,mau belajar apa,Learn How To Draw 3-Dimensional Sketch,art,art
174,mau belajar apa,Learn How to Custom Paint Sneakers,art,art
175,mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),art,art
176,mau belajar apa,(3 Sessions) Learn How To Make Storyboard Coloring,art,art
177,mau belajar apa,(2 Sessions) Learn How To Draw Face and Hands (2 Days Session),art,art
178,mau belajar apa,(3 Sessions) Belajar Membuat Storyboard Sketches,art,art
179,mau belajar apa,Learn The Basic Of Small Brush Pen Lettering,art,art
180,mau belajar apa,Learn The Basic Of Colorful Brush Pen Lettering,art,art
181,mau belajar apa,(Acrylic Painting) Learn How To Paint Deer,art,art
182,mau belajar apa,Learn How To Make Stencil Painting On Hoodie Jacket,art,art
183,mau belajar apa,Belajar Membuat Aneka Cream Soup,cooking-masak,pengembangan-diri
184,mau belajar apa,Belajar Membuat Salmon Lodeh Dan Dory Sambal Matah (Fish Galore),cooking-masak,pengembangan-diri
185,mau belajar apa,Learn How To Make 3D Rillakkuma Rice Cake,cooking-masak,pengembangan-diri
186,mau belajar apa,Learn How To Make Sauerkraut (Fermented Cabbage),cooking-masak,pengembangan-diri
187,mau belajar apa,Belajar Memulai Usaha Sajian Sehat Salada Kacang (Healthy Peanut Salad) Dengan Chef Hadi,cooking-masak,pengembangan-diri
188,mau belajar apa,Learn How To Apply Shibori on T-Shirt,craft,art
189,mau belajar apa,Learn How To Make Your Own Handmade Earing,craft,art
190,mau belajar apa,(6 Sessions) (Online Class) Learn How To Make Wire Necklace (6 Days Session),craft,art
191,mau belajar apa,Learn How To Make Japanese Binding Notebook,craft,art
192,mau belajar apa,Belajar Membuat Kalung Mermaid Dari Air-Dry Clay,craft,art
193,mau belajar apa,Learn How to Make Crochet Coaster,craft,art
194,mau belajar apa,Learn How To Apply Ecoprint On Tote Bag,craft,art
195,mau belajar apa,Learn The Basic Of Clay Sculpting,craft,art
196,mau belajar apa,Belajar Membuat Puding Lapis Surabaya Dengan Chef Yuliana,cooking-baking,pengembangan-diri
197,mau belajar apa,Belajar Membuat Dessert Puding Bentuk Sushi Dan Sashimi,cooking-baking,pengembangan-diri
198,mau belajar apa,Belajar Membuat Silky Pudding (Puding Sutera) Aneka Rasa ala Cafe bersama Chef Siu Erl,cooking-baking,pengembangan-diri
199,mau belajar apa,Learn How To Make Sauerkraut (Fermented Cabbage),cooking-baking,pengembangan-diri
200,mau belajar apa,Belajar Membangun Usaha Bakery Dengan Modal Minim,cooking-baking,pengembangan-diri
201,mau belajar apa,Belajar Memulai Usaha Avocado Pudding (Puding Alpukat) ala Cafe Dengan Chef Hadi,cooking-baking,pengembangan-diri
202,mau belajar apa,Belajar Memulai Usaha Sajian Sehat Salada Kacang (Healthy Peanut Salad) Dengan Chef Hadi,cooking-baking,pengembangan-diri
203,mau belajar apa,Belajar Membuat Kroket Ayam Keju yang Mudah dan Siap untuk Dijual Dengan Chef Yongki,cooking-baking,pengembangan-diri
204,mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashion,fashion
205,mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
206,mau belajar apa,Learn How to Make Your Own Culotte Pants,fashion,fashion
207,mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
208,mau belajar apa,Learn How To Make Bow Tie Dress,fashion,fashion
209,mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
210,mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashion,fashion
211,mau belajar apa,Learn How to Make Wrapped Dress,fashion,fashion
212,mau belajar apa,Belajar Penggunaan Microsoft Excel untuk Analisa Data,business,business
213,mau belajar apa,(2 Sessions) (Jourdan pending class Online) Belajar Pendanaan Bisnis (DRAFT),business,business
214,mau belajar apa,Belajar Menulis untuk Pemula,business,business
215,mau belajar apa,Learn All About Writing for Business (Digital Learning),business,business
216,mau belajar apa,Learn About How Can Service Industry Survive? (Surviving Covid19),business,business
217,mau belajar apa,(2 Sessions) Learn How To Earn Funding For Your Business (BSP V) (Jakarta Area),business,business
218,mau belajar apa,(3 Sessions) Belajar Dasar Digital Marketing: Membuat Kampanye dan Memilih Media yang Tepat,business,business
219,mau belajar apa,(2 Sessions) Learn How To Earn Funding For Your Business (BSP V) (Bandung Area),business,business
220,mau belajar apa,(Webinar) Learn Legal Management for Your Business,business,business
221,mau belajar apa,(Jourdan pending class Online) Belajar Pengaturan Hukum untuk Bisnismu (DRAFT),business,business
222,mau belajar apa,Belajar Membentuk Kualitas Pelayanan yang Prima,business,business
223,mau belajar apa,Belajar Membangun Usaha Bakery Dengan Modal Minim,business,business
224,mau belajar apa,(Livestream) Learn How To Maximize Instagram To Boost Your Sales,business,business
225,mau belajar apa,Belajar Trik Sukses Jualan Online dengan Iklan Facebook dan Instagram Dengan Albert Leonardo (Beginner),business,business
226,mau belajar apa,(2 Sessions) (Webinar) Learn How To Earn Funding For Your Business (BSP V),business,business
227,mau belajar apa,Learn How To Validate Your Business To The Market,business,business
228,mau belajar apa,Belajar Membuat Pengaturan Kerja Tim yang Efektif,business,business
229,mau belajar apa,Belajar Trik SEO (Online),business,business
230,mau belajar apa,Belajar Menjadi Wirausaha dan Mulai Berjualan dari Rumah,business,business
231,mau belajar apa,Belajar Penggunaan Microsoft Excel untuk Analisa Data,spreadsheet,business
232,mau belajar apa,Belajar Microsoft Excel untuk Pemula,spreadsheet,business
233,mau belajar apa,Belajar Penggunaan Microsoft Excel untuk Memaksimalkan Kerja UMKM,spreadsheet,business
234,mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,fashion,fashion
235,mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
236,mau belajar apa,Learn How To Make Abaya from Scratch,fashion,fashion
237,mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashion,fashion
238,mau belajar apa,Learn About Fashion Illustration,fashion,fashion
239,mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),fashion,fashion
240,mau belajar apa,Learn How To Make Bow Tie Dress,fashion,fashion
241,mau belajar apa,(Afternoon Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
242,mau belajar apa,Learn How to Draw Fashion Illustration,fashion,fashion
243,mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
244,mau belajar apa,Learn How To Make Haute Couture Ateliers Bodice,fashion,fashion
245,mau belajar apa,Belajar Teknik Menjahit Payet Tabur,fashion,fashion
246,mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashion,fashion
247,mau belajar apa,Learn How To Make Your Own Handmade Earing,fashion,fashion
248,mau belajar apa,Learn How To Sew Women Shirt,fashion,fashion
249,mau belajar apa,Belajar Membuat Payet Tabur,fashion,fashion
250,mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
251,mau belajar apa,Learn How to Make Your Own Culotte Pants,fashion,fashion
252,mau belajar apa,Learn How To Apply Ecoprint On Tote Bag,fashion,fashion
253,mau belajar apa,Learn How to Make Wrapped Dress,fashion,fashion
254,mau belajar apa,Belajar SEO Dasar Untuk Pemula,web-development,teknologi
255,mau belajar apa,Belajar Membuat Website HTML And CSS,web-development,teknologi
256,mau belajar apa,Learn How To Create And Grow Your Own Website Using Wordpress Only In 1 Day,web-development,teknologi
257,mau belajar apa,Belajar Membuat Website Untuk Online Shopping (E-Commerce) menggunakan WordPress,web-development,teknologi
258,mau belajar apa,(LiveStream) Learn How To Code With HTML and CSS,web-development,teknologi
259,mau belajar apa,Learn How To Create A Heart-Winning Website By Using Blogger Only In 1 Day,web-development,teknologi
260,mau belajar apa,Belajar Membuat Website Lewat Blogger,web-development,teknologi
261,mau belajar apa,Learn How To Master HTML And CSS Only In 1 Day,web-development,teknologi
262,mau belajar apa,Belajar Memahami Etos Kerja di Perusahaan Jepang (Horenso),japanese,pengembangan-diri
263,mau belajar apa,(12 Sessions) Belajar Bahasa Jepang Praktis (Keperluan kerja),japanese,pengembangan-diri
264,mau belajar apa,(12 Sessions) Belajar Bahasa Jepang Praktis,japanese,pengembangan-diri
265,mau belajar apa,Learn How To Create Fresh Flower Bouquet Arrangement,homeliving,pengembangan-diri
266,mau belajar apa,Learn How To Make Korean Style Bouquet,homeliving,pengembangan-diri
267,mau belajar apa,(2 Sessions) (Bunding Package) Learn How To Make Korean Bouquet And Centerpiece,homeliving,pengembangan-diri
268,mau belajar apa,Learn How To Make Centerpiece,homeliving,pengembangan-diri
269,mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,fashionpreneur,fashion
270,mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashionpreneur,fashion
271,mau belajar apa,Learn How To Make Abaya from Scratch,fashionpreneur,fashion
272,mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashionpreneur,fashion
273,mau belajar apa,Learn About Fashion Illustration,fashionpreneur,fashion
274,mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),fashionpreneur,fashion
275,mau belajar apa,Learn How To Make Bow Tie Dress,fashionpreneur,fashion
276,mau belajar apa,(Afternoon Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashionpreneur,fashion
277,mau belajar apa,Learn How to Draw Fashion Illustration,fashionpreneur,fashion
278,mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashionpreneur,fashion
279,mau belajar apa,Learn How To Make Haute Couture Ateliers Bodice,fashionpreneur,fashion
280,mau belajar apa,Belajar Teknik Menjahit Payet Tabur,fashionpreneur,fashion
281,mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashionpreneur,fashion
282,mau belajar apa,Learn How To Make Your Own Handmade Earing,fashionpreneur,fashion
283,mau belajar apa,Learn How To Sew Women Shirt,fashionpreneur,fashion
284,mau belajar apa,Belajar Membuat Payet Tabur,fashionpreneur,fashion
285,mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashionpreneur,fashion
286,mau belajar apa,Learn How to Make Your Own Culotte Pants,fashionpreneur,fashion
287,mau belajar apa,Learn How To Apply Ecoprint On Tote Bag,fashionpreneur,fashion
288,mau belajar apa,Learn How to Make Wrapped Dress,fashionpreneur,fashion
289,mau belajar apa,Learn How To Make Japanese Binding Notebook,book-binding,pengembangan-diri
290,mau belajar apa,Learn The Basic Of Colorful Brush Pen Lettering,caligraphy,art
291,mau belajar apa,Learn The Basic Of Small Brush Pen Lettering,caligraphy,art
292,mau belajar apa,(2 Sessions) Learn How To Earn Funding For Your Business (BSP V) (Bandung Area),entrepreneurship-startup,business
